,apply link,job_role,comapanyjob,company_name,status,location,experiment
0,https://www.naukri.com/job-listings-python-developer-rd-amp-amp-x-network-bangalore-bengaluru-1-to-3-years-151222502186,Python Developer,https://www.naukri.com/rdx-network-jobs-careers-123572055,RD&amp;amp;X Network,Not disclosed,Bangalore/Bengaluru,1-3 Yrs
1,https://www.naukri.com/job-listings-python-developer-futurehook-technologies-bangalore-bengaluru-1-to-3-years-270522502911,Python Developer,https://www.naukri.com/xtrematix-automation-jobs-careers-1990792,Xtrematix Automation,Not disclosed,Bangalore/Bengaluru,1-3 Yrs
2,https://www.naukri.com/job-listings-python-developer-mahiti-bengaluru-bangalore-1-to-3-years-260618500754,Python Developer,https://www.naukri.com/mahiti-infotech-jobs-careers-89917,Mahiti Infotech,Not disclosed,Bengaluru,1-3 Yrs
3,https://www.naukri.com/job-listings-python-developer-global-talent-pool-bangalore-bengaluru-1-to-4-years-160522501132,Python Developer,https://www.naukri.com/webjobs-global070120161511-naukri-jobs-careers-2357392,Global Talent Pool,Not disclosed,Bangalore/Bengaluru,1-4 Yrs
4,https://www.naukri.com/job-listings-python-developer-global-talent-pool-bangalore-bengaluru-1-to-3-years-141221500077,Python Developer,https://www.naukri.com/webjobs-global070120161511-naukri-jobs-careers-2357392,Global Talent Pool,Not disclosed,Bangalore/Bengaluru,1-3 Yrs
5,https://www.naukri.com/job-listings-python-developer-aptiv-technical-centre-bangalore-bengaluru-1-to-5-years-251122502214,Python Developer,https://www.naukri.com/aptiv-jobs-careers-21900,Aptiv,Not disclosed,Bangalore/Bengaluru,1-5 Yrs
6,https://www.naukri.com/job-listings-python-developer-day1-tech-bangalore-bengaluru-1-to-4-years-300622501634,Python Developer,https://www.naukri.com/day1-technologies-jobs-careers-3771988,Day1 Technologies,Not disclosed,Bangalore/Bengaluru,1-4 Yrs
7,https://www.naukri.com/job-listings-python-developer-mahiti-bengaluru-bangalore-1-to-3-years-260618500753,Python Developer,https://www.naukri.com/mahiti-infotech-jobs-careers-89917,Mahiti Infotech,Not disclosed,Bengaluru,1-3 Yrs
8,https://www.naukri.com/job-listings-senior-python-developer-wow-labz-bangalore-bengaluru-1-to-6-years-230822500793,Senior Python Developer,https://www.naukri.com/wow-labz-jobs-careers-2441684,Wow Labz,Not disclosed,Bangalore/Bengaluru,1-6 Yrs
9,https://www.naukri.com/job-listings-python-developer-t-a-solutions-bangalore-bengaluru-1-to-7-years-100622501952,Python Developer,https://www.naukri.com/t-a-solutions-jobs-careers-1863804,T & A Solutions,Not disclosed,Bangalore/Bengaluru,1-7 Yrs
